"d","med","avg","mature"
2006-02-01,1.37166324435318,1.37955678818102,TRUE
2006-03-01,1.37166324435318,1.37876004178825,TRUE
2006-04-01,1.37166324435318,1.37816107688798,TRUE
2006-05-01,1.37166324435318,1.37816107688798,TRUE
2006-06-01,1.37166324435318,1.37816107688798,TRUE
2006-07-01,1.37166324435318,1.37816107688798,TRUE
2006-08-01,1.37166324435318,1.39303369077496,TRUE
2006-09-01,1.37166324435318,1.39865613943758,TRUE
2006-10-01,1.37166324435318,1.38759601490608,TRUE
2006-11-01,1.37166324435318,1.38915506882653,TRUE
2006-12-01,1.37166324435318,1.38915506882653,TRUE
2007-01-01,1.37166324435318,1.37155225040235,TRUE
2007-02-01,1.37166324435318,1.37155225040235,TRUE
2007-03-01,1.37166324435318,1.37155225040235,TRUE
2007-04-01,1.37166324435318,1.38539000309415,TRUE
2007-05-01,1.37166324435318,1.37232920805816,TRUE
2007-06-01,1.37166324435318,1.37232920805816,TRUE
2007-07-01,1.37166324435318,1.37232920805816,TRUE
2007-08-01,1.37166324435318,1.35552817704768,TRUE
2007-09-01,1.18822724161533,1.3502796856192,TRUE
2007-10-01,1.14852840520192,1.41627617192299,TRUE
2007-11-01,1.14852840520192,1.41627617192299,TRUE
2007-12-01,1.14852840520192,1.41627617192299,TRUE
2008-01-01,1.14852840520192,1.40937713894593,TRUE
2008-02-01,1.12799452429843,1.39620249955637,TRUE
2008-03-01,1.14852840520192,1.40164271047228,TRUE
2008-04-01,1.37166324435318,1.44399430231052,TRUE
2008-05-01,1.37166324435318,1.44915963191117,TRUE
2008-06-01,1.37166324435318,1.45702418122322,TRUE
2008-07-01,1.37166324435318,1.44242615700521,TRUE
2008-08-01,1.37166324435318,1.44242615700521,TRUE
2008-09-01,1.37166324435318,1.44242615700521,TRUE
2008-10-01,1.37166324435318,1.44242615700521,TRUE
2008-11-01,1.37166324435318,1.44242615700521,TRUE
2008-12-01,1.37166324435318,1.43338618425043,TRUE
2009-01-01,1.37166324435318,1.43338618425043,TRUE
2009-02-01,1.37166324435318,1.43364134154689,TRUE
2009-03-01,1.16906228610541,1.43836363816723,TRUE
2009-04-01,1.16906228610541,1.43836363816723,TRUE
2009-05-01,1.16906228610541,1.43836363816723,TRUE
2009-06-01,1.19507186858316,1.46003945726134,TRUE
2009-07-01,1.45379876796715,1.47961880692887,TRUE
2009-08-01,1.3305954825462,1.45865223072615,TRUE
2009-09-01,1.45927446954141,1.4858879896928,TRUE
2009-10-01,1.58658453114305,1.53306810403833,TRUE
2009-11-01,1.51403148528405,1.51992839467172,TRUE
2009-12-01,1.51403148528405,1.51992839467172,TRUE
2010-01-01,1.51403148528405,1.51992839467172,TRUE
2010-02-01,1.51403148528405,1.51992839467172,TRUE
2010-03-01,1.51403148528405,1.51992839467172,TRUE
2010-04-01,1.51403148528405,1.51992839467172,TRUE
2010-05-01,1.51403148528405,1.51992839467172,TRUE
2010-06-01,1.51403148528405,1.51992839467172,TRUE
2010-07-01,0.922655715263518,1.25458278887437,TRUE
2010-08-01,0.922655715263518,1.25458278887437,TRUE
2010-09-01,1.02395619438741,1.24326748330147,TRUE
2010-10-01,1.02395619438741,1.24326748330147,TRUE
2010-11-01,1.02395619438741,1.24326748330147,TRUE
2010-12-01,1.02395619438741,1.24326748330147,TRUE
2011-01-01,1.02395619438741,1.24326748330147,TRUE
2011-02-01,0.959616700889802,1.22354551676934,TRUE
2011-03-01,0.959616700889802,1.22354551676934,TRUE
2011-04-01,0.959616700889802,1.22354551676934,TRUE
2011-05-01,0.959616700889802,1.22354551676934,TRUE
2011-06-01,0.959616700889802,1.22354551676934,TRUE
2011-07-01,0.959616700889802,1.22354551676934,TRUE
2011-08-01,0.959616700889802,1.22354551676934,TRUE
2011-09-01,0.761122518822724,1.24215250522011,TRUE
2011-10-01,0.761122518822724,1.2379937445308,TRUE
2011-11-01,0.761122518822724,1.24203653977781,TRUE
2011-12-01,0.761122518822724,1.24203653977781,TRUE
2012-01-01,0.761122518822724,1.30645261651422,TRUE
2012-02-01,0.761122518822724,1.29331859105986,TRUE
2012-03-01,0.761122518822724,1.29331859105986,TRUE
2012-04-01,0.761122518822724,1.26430527036277,TRUE
2012-05-01,0.761122518822724,1.30554921793799,TRUE
2012-06-01,0.761122518822724,1.30554921793799,TRUE
2012-07-01,0.936344969199179,1.41316789724322,TRUE
2012-08-01,0.996577686516085,1.42715624149022,TRUE
2012-09-01,0.996577686516085,1.42715624149022,TRUE
2012-10-01,1.05544147843943,1.3896874287018,TRUE
2012-11-01,1.05544147843943,1.3896874287018,TRUE
2012-12-01,1.05544147843943,1.3896874287018,TRUE
2013-01-01,1.05544147843943,1.3968123594407,TRUE
2013-02-01,1.05954825462012,1.41209614220953,TRUE
2013-03-01,1.05544147843943,1.39849418206708,TRUE
2013-04-01,1.05544147843943,1.39849418206708,TRUE
2013-05-01,1.05544147843943,1.39849418206708,TRUE
2013-06-01,1.05133470225873,1.38943943497108,TRUE
2013-07-01,1.02395619438741,1.40195071868583,TRUE
2013-08-01,1.02395619438741,1.40195071868583,TRUE
2013-09-01,0.996577686516085,1.38337282156584,TRUE
2013-10-01,0.996577686516085,1.38337282156584,TRUE
2013-11-01,1.17316906228611,1.60694290879096,TRUE
2013-12-01,1.1772758384668,1.6183542672249,TRUE
2014-01-01,1.1772758384668,1.6183542672249,TRUE
2014-02-01,1.1772758384668,1.63958149995111,TRUE
2014-03-01,1.1772758384668,1.63958149995111,TRUE
2014-04-01,1.1772758384668,1.63958149995111,TRUE
2014-05-01,1.1772758384668,1.63958149995111,TRUE
2014-06-01,1.17316906228611,1.63100255772902,TRUE
2014-07-01,1.17316906228611,1.63100255772902,TRUE
2014-08-01,1.1772758384668,1.65147159479808,TRUE
2014-09-01,1.17316906228611,1.65217887291809,TRUE
2014-10-01,1.1772758384668,1.66480608496978,TRUE
