"d","v","mature"
2021-08-01,1.44147843942505,TRUE
2021-09-01,1.50855578370979,TRUE
2021-10-01,1.98083504449008,TRUE
2021-11-01,2.12731006160164,TRUE
2021-12-01,2.12731006160164,TRUE
2022-01-01,1.98083504449008,TRUE
2022-02-01,1.98083504449008,TRUE
2022-03-01,1.98083504449008,TRUE
2022-04-01,1.86173853524983,TRUE
2022-05-01,1.86173853524983,TRUE
2022-06-01,2.12731006160164,TRUE
2022-07-01,2.40520191649555,TRUE
2022-08-01,2.40520191649555,TRUE
2022-09-01,2.12731006160164,TRUE
2022-10-01,2.12731006160164,TRUE
2022-11-01,2.12731006160164,TRUE
2022-12-01,1.84804928131417,TRUE
2023-01-01,1.84804928131417,TRUE
2023-02-01,1.86173853524983,TRUE
2023-03-01,1.86173853524983,TRUE
2023-04-01,1.64681724845996,TRUE
2023-05-01,1.64681724845996,TRUE
2023-06-01,1.10609171800137,TRUE
2023-07-01,0.98425735797399,TRUE
2023-08-01,0.98425735797399,TRUE
2023-09-01,0.98425735797399,TRUE
2023-10-01,0.862422997946612,TRUE
2023-11-01,0.862422997946612,TRUE
2023-12-01,0.862422997946612,TRUE
2024-01-01,0.862422997946612,TRUE
2024-02-01,0.862422997946612,TRUE
2024-03-01,0.862422997946612,TRUE
2024-04-01,0.862422997946612,TRUE
2024-05-01,0.862422997946612,TRUE
2024-06-01,0.862422997946612,TRUE
2024-07-01,0.862422997946612,TRUE
2024-08-01,0.861054072553046,TRUE
2024-09-01,0.861054072553046,TRUE
2024-10-01,0.757015742642026,TRUE
2024-11-01,0.757015742642026,TRUE
2024-12-01,0.757015742642026,TRUE
2025-01-01,0.757015742642026,TRUE
2025-02-01,0.654346338124572,FALSE
2025-03-01,0.654346338124572,FALSE
2025-04-01,0.636550308008214,FALSE
2025-05-01,0.636550308008214,FALSE
2025-06-01,0.618754277891855,FALSE
2025-07-01,0.618754277891855,FALSE
2025-08-01,0.618754277891855,FALSE
2025-09-01,0.636550308008214,FALSE
2025-10-01,0.636550308008214,FALSE
2025-11-01,0.636550308008214,FALSE
2025-12-01,0.757015742642026,FALSE
2026-01-01,0.757015742642026,FALSE
2026-02-01,0.757015742642026,FALSE
2026-03-01,0.757015742642026,FALSE
2026-04-01,0.501026694045175,FALSE
2026-05-01,0.501026694045175,FALSE
2026-06-01,0.501026694045175,FALSE
2026-07-01,0.499657768651608,FALSE
